Tirana 's national library has three copies of the " Book of Mass ' . "	S-LOC O O O O O O O O O B-MISC I-MISC E-MISC O O O
* UIC , part of insurer GAN , slid 12.19 percent to 55.1 francs after reporting a net attributable first-half loss of 758 million francs after the close on Monday .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Munich 1860 4 1 1 2 3 5 4	O O O O O O O O O
NEW YORK 1996-08-23	B-LOC E-LOC O
5. Lietti 8	O S-PER O
" Once it arrives in Yingkou , it is subject to monitoring by the State Planning Commission , which has to give permission for any more movement ; it is out of the hands of traders , " he said .	O O O O O S-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Ieng Sary said in a written statement , the first since his split with Pol Pot earlier this month , that the new movement to be called the Democratic National United Movement ( DNUM ) would seek an end to civil war and work towards reconciliation with the Cambodian government .	B-PER E-PER O O O O O O O O O O O O B-PER E-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O S-MISC O O
Pakistan : Aamir Sohail , Saeed Anwar , Ijaz Ahmed , Inzamam-ul-Haq , Salim Malik , Wasim Akram ( captain ) , Moin Khan , Mushtaq Ahmed , Waqar Younis , Ata-ur-Rehman , Saqlain Mushtaq .	S-LOC O B-PER E-PER O B-PER E-PER O B-PER E-PER O S-PER O B-PER E-PER O B-PER E-PER O O O O B-PER E-PER O B-PER E-PER O B-PER E-PER O S-PER O B-PER E-PER O
Patricia Vowinkel	B-PER E-PER
Amsterdam-Rotterdam-Antwerp oil stock levels fall .	S-LOC O O O O O
6. Camerlengo	O S-PER
Net Sales : 1996/97 1997/98	O O O O O
The race continues on Friday with the 178 kilometre fifth-stage from Zevenaar to Venray .	O O O O O O O O O O O S-LOC O S-LOC O
Commonwealth ministers concerned about human rights in Nigeria may cancel a planned trip there because of government restrictions on their mission , Canadian Foreign Minister Lloyd Axworthy said on Friday .	O O O O O O O S-LOC O O O O O O O O O O O O O O S-MISC O O B-PER E-PER O O O O
6. Chandra Sturrup ( Bahamas ) 22.85	O B-PER E-PER O S-LOC O O
MILWAUKEE 62 69 .473 15 1/2	O O O O O O
108.50 ( 108.43 )	O O O O
( 57th )	O O O
The Astros trailed 5-0 after three innings , but scored three runs in the fourth and one in the sixth before taking the lead in the eighth .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Nilis 42nd , Cocu 54th , 67th ) .	S-PER O O S-PER O O O O O
- Turnover 756 vs 829	O O O O O
SIMEX Brent closed on Monday owing to IPE holiday .	O O O O O O O O O O
Because of the apparent threat to foreigners in Costa Rica near the Nicaraguan border , Arce said the government has advised many to take additional security measures on their own .	O O O O O O O O B-LOC E-LOC O O S-MISC O O S-PER O O O O O O O O O O O O O O O
A Hong Kong carpenter was arrested in the Thai seaside town of Pattaya after police seized 18 kg ( 39.7 pounds ) of heroin following complaints by residents of a noisy saw , police said on Thursday .	O B-LOC E-LOC O O O O O S-MISC O O O S-LOC O O O O O O O O O O O O O O O O O O O O O O O O O
Price per bushel for 14-pct protein dark northern spring , durum and white wheats , in dollars per bushel :	O O O O O O O O O O O O O O O O O O O O
RUGBY UNION - GRIQUALAND WEST AND NEW ZEALAND DRAW IN TOUR MATCH .	O O O B-LOC E-LOC O B-LOC E-LOC O O S-MISC O O
The prime minister offered financial grants to the families of those killed , ordered the best possible medical care for the injured and urged Bogra residents to call off the strike .	O O O O O O O O O O O O O O O O O O O O O O O O S-LOC O O O O O O O
She is conscious but her breathing is irregular . "	O O O O O O O O O O
National League	B-MISC E-MISC
- export order book - 14 - 13 - 11 - 7	O O O O O O O O O O O O
15 - Christian Cullen , 14 - Jeff Wilson , 13 - Walter Little , 12 - Frank Bunce , 11 - Glen Osborne ; 10 - Andrew Mehrtens , 9 - Justin Marshall ; 8 - Zinzan Brooke , 7 - Josh Kronfeld , 6 - Michael Jones , 5 - Ian Jones , 4 - Robin Brooke , 3 - Olo Brown , 2 - Sean Fitzpatrick ( captain ) , 1 - Craig Dowd .	O O B-PER E-PER O O O B-PER E-PER O O O B-PER E-PER O O O B-PER E-PER O O O B-PER E-PER O O O B-PER E-PER O O O B-PER E-PER O O O B-PER E-PER O O O B-PER E-PER O O O B-PER E-PER O O O B-PER E-PER O O O B-PER E-PER O O O B-PER E-PER O O O B-PER E-PER O O O O O O B-PER E-PER O
Lynne O'Donnell	B-PER E-PER
AD-DIYAR	O
5. Wim Omloop ( Belgium ) Collstrop same time	O B-PER E-PER O S-LOC O O O O
But new coach Rolf Fringer is clearly a Knup fan and included him in his 19-man squad on Thursday .	O O O B-PER E-PER O O O S-PER O O O O O O O O O O O
Borussia Moenchengladbach 3 0 2 1 1 3 2	O O O O O O O O O
Disarming Iraq of weapons of mass destruction under 1991 Gulf War ceasefire terms is a prerequisite before the lifting of crippling sanctions imposed on Iraq in 1990 for invading Kuwait .	O S-LOC O O O O O O O B-MISC E-MISC O O O O O O O O O O O O O S-LOC O O O O S-LOC O
An explosion at Repsol 's Puertollano refinery , which killed four workers , had not affected output of oil products , an official said .	O O O O O S-LOC O O O O O O O O O O O O O O O O O O O
W L PCT GB	O O O O
The Zurich fall cost Engquist a shot at a jackpot of 20 one-kg gold bars which can be won by athletes who clinch their events at all of the Golden Four series in Oslo , Zurich , Brussels and Berlin .	O S-LOC O O S-PER O O O O O O O O O O O O O O O O O O O O O O O O B-MISC E-MISC O O S-LOC O S-LOC O S-LOC O S-LOC O
They had been arrested last week for stealing 800,000 naira ( $ 10,000 ) from a sheep merchant .	O O O O O O O O O O O O O O O O O O O
5. Collin Dugmore ( South Africa ) Honda	O B-PER E-PER O B-LOC E-LOC O O
-- Wellington newsroom 64 4 473-4746	O S-LOC O O O O
MILWAUKEE AT CHICAGO	O O S-LOC
** Privately-owned Bank Duta on market talk that it is obtaining fresh syndicated loans , a management reshuffle and fresh equity injection .	O O O O O O O O O O O O O O O O O O O O O O O
Brisbane 10.11 ( 71 ) Fremantle 10.10 ( 70 )	O O O O O O O O O O
Mitsubishi driver Makinen stopped experienced fellow Finn Juha Kankkunen in his tracks on the final day of the 1,452-km rally , doubling his lead on the first two decisive stages .	O O S-PER O O O S-MISC B-PER E-PER O O O O O O O O O O O O O O O O O O O O O O
A total of 9,446 delegates will be deployed throughout Zaire 's 11 provinces for the elections , which must be held by July 1997 under the transitional constitution .	O O O O O O O O O S-LOC O O O O O O O O O O O O O O O O O O O
by the disease of scepticism , gloom and resignation , you would not be here .	O O O O O O O O O O O O O O O O
A Hamburg court sentenced U.S. neo-Nazi leader Gary Lauck on Thursday to four years in prison for pumping banned extremist propaganda into Germany from his base in the United States .	O S-LOC O O S-LOC S-MISC O B-PER E-PER O O O O O O O O O O O O O S-LOC O O O O O B-LOC E-LOC O
Arafat subsequently cancelled a meeting between Israeli and PLO officials , on civilian affairs , at the Allenby Bridge crossing between Jordan and the West Bank .	S-PER O O O O O S-MISC O O O O O O O O O O B-LOC E-LOC O O S-LOC O O B-LOC E-LOC O
Britain 's Damon Hill fifth in a Williams and Gerhard Berger of	S-LOC O B-PER E-PER O O O O O B-PER E-PER O
East Stirling 0 Albion 1	O O O O O
" They think something is stuck , " the source said . "	O O O O O O O O O O O O O
45.810	O
With their fifth straight win , the Dodgers moved a half-game ahead of the Expos at the top of the wild card hunt behind Nomo ( 13-10 ) , who allowed six hits and walked four with six strikeouts .	O O O O O O O O O O O O O O O O O O O O O O O O S-PER O O O O O O O O O O O O O O O
Bayer Leverkusen 0 Fortuna Duesseldorf 1	O O O O O O
Bastia 3 2 1 0 4 1 7	O O O O O O O O
The run broke Clemens ' 28-inning shutout streak , longest in the majors this season .	O O O S-PER O O O O O O O O O O O O
Inquiry and demand very light .	O O O O O O
Javier Frana ( Argentina ) vs. 3 - Thomas Muster ( Austria )	B-PER E-PER O S-LOC O O O O B-PER E-PER O S-LOC O
145 Peter Mitchell 74 71 , Philip Walton ( Ireland ) 71 74 , Retief	O B-PER E-PER O O O B-PER E-PER O S-LOC O O O O S-PER
6. Ryo 38:34.682	O S-PER O
Sao Paulo state 's debt is now estimated at 19 billion reais .	B-LOC E-LOC O O O O O O O O O O O
India RBI chief sees cut in cash reserve ratio .	S-LOC O O O O O O O O O
In an affidavit , the princess said that in chasing her Stenning had got so close that he twice smashed into her car and pushed her when she tried to remove the film from his camera .	O O O O O O O O O O O S-PER O O O O O O O O O O O O O O O O O O O O O O O O O
Neither spoke to reporters before the meeting , which started around 10.45 a.m. ( 0645 GMT ) .	O O O O O O O O O O O O O O O S-MISC O O
BNZ cuts NZ fixed home lending rates .	O O S-LOC O O O O O
Premier division	O O
Men 's singles	O O O
A resolution released by the council called for " halting contacts with the Israeli side and leaving the mechanism to carry out this to Palestinian President Yasser Arafat " .	O O O O O O O O O O O O O S-MISC O O O O O O O O O O S-MISC O B-PER E-PER O O
Alvarado said the car was abandoned about 40 miles ( 60 km ) north of the couple 's house but said that did not indicate the kidnappers intended to take their victims into neighbouring Nicaragua .	S-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O S-LOC O
AMSTERDAM 1996-08-22	S-LOC O
69th ) .	O O O
January-June revenues went up to 8.26 trillion lei from 6.96 trillion lei in the first five months this year .	O O O O O O O O O O O O O O O O O O O O
unless stated ) :	O O O O
Qualifier vs. Christian Rudd ( Norway )	O O B-PER E-PER O S-LOC O
Inc .	O O
" If we 're to stay in Saudi Arabia , we need to have total cooperation , " Specter said .	O O O O O O O B-LOC E-LOC O O O O O O O O O S-PER O O
The reaction is likely to disappoint British farmers , who seized on research by Oxford scientists in the scientific journal Nature saying it would be hard to get rid of the disease any faster than 2001 without killing vast numbers of cattle .	O O O O O O S-MISC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
-- Taipei Newsroom ( 5080815 )	O O O O O O
Chonan 3 0 1 13 10 9	O O O O O O O
The company said Sabourin is the former president and chief executive at Bestop Inc of Boulder , Colo .	O O O S-PER O O O O O O O O O O O S-LOC O B-LOC E-LOC
6. Dusan Kovacs ( Hungary ) 49.31	O B-PER E-PER O S-LOC O O
3. Wataru Yoshikawa ( Japan ) Yamaha 38:32.353	O B-PER E-PER O S-LOC O O O
Conversion : Stranksy .	O O S-PER O
Costa Rica says Dutch pair kidnapped by Nicaraguans .	B-LOC E-LOC O S-MISC O O O S-MISC O
1892 - Prolific French modernist composer Darius Milhaud born .	O O O S-MISC O O B-PER E-PER O O
Australia - Mark Waugh , Michael Slater , Ricky Ponting , Steve Waugh , Stuart Law , Michael Bevan , Ian Healy ( captain ) , Brad Hogg , Paul Reiffel , Damein Fleming , Glenn McGrath .	S-LOC O B-PER E-PER O B-PER E-PER O B-PER E-PER O B-PER E-PER O B-PER E-PER O B-PER E-PER O B-PER E-PER O O O O B-PER E-PER O B-PER E-PER O B-PER E-PER O B-PER E-PER O
The formal inauguration had been due to take place this week but was put back .	O O O O O O O O O O O O O O O O
The records also provide insight into medical thinking of the day .	O O O O O O O O O O O O
In St Louis , Gary Sheffield and Devon White each drove in two runs and Mark Hutton scattered four hits over six innings to lead the Florida Marlins past the St. Louis Cardinals 6-3 .	O B-LOC E-LOC O B-PER E-PER O B-PER E-PER O O O O O O B-PER E-PER O O O O O O O O O O O O O O O O O O
There was also concern over injuries to Paul Gascoigne , Les Ferdinand and David Batty .	O O O O O O O B-PER E-PER O B-PER E-PER O B-PER E-PER O
Word of the findings , to be published in the Oct. 1 issue of the journal " Human Gene Therapy , " came in advance of the annual Jerry Lewis Labour Day weekend telethon to raise money for muscular dystrophy research .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-MISC I-MISC I-MISC E-MISC O O O O O O O O O O
Blackpool 3 2 0 1 3 2 6	O O O O O O O O
In June , Promodes signed an outline agreement to sell its Specia unit -- which runs 100 Dia stores in France -- to Germany 's Aldi .	O O O O O O O O O O O O O O O O O O O O S-LOC O O S-LOC O O O
30 Year A-rated Housing Rev 6.05 % 6.00 % +0.05	O O O O O O O O O O
Divisionn two	O O
Casey told a news conference in Chicago on Tuesday he had asked to speak again this year but was turned down .	S-PER O O O O O S-LOC O O O O O O O O O O O O O O O
LONDON 1996-08-23	S-LOC O
Poland and Cyprus drew	S-LOC O S-LOC O
5. Van Doorn 24	O B-PER E-PER O
No more mild-mannered and meek Al Gore , the vice president and likely heir apparent to President Bill Clinton , emerged on Monday as the new Democratic attack dog leading a front-line assault on Bob Dole and House Speaker Newt Gingrich .	O O O O O B-PER E-PER O O O O O O O O O O B-PER E-PER O O O O O O O S-MISC O O O O O O O B-PER E-PER O O O B-PER E-PER O
FC Bohemians 3 0 1 2 1 4 1	O O O O O O O O O
7-5	O
7. Sarah Thorsett ( U.S. ) 4:06.80	O B-PER E-PER O S-LOC O O
Result of the Nunthorpe Stakes , a group one race for two-year-olds and upwards , run over five furlongs ( 1 km ) on Thursday :	O O O B-MISC E-MISC O O O O O O O O O O O O O O O O O O O O O
For the foreign powers which back last year 's Dayton peace agreement , the main point of the election rules is that by voting as though they were still in their pre-war homes , Bosnians should override the effects of ethnic cleansing and reassert the concept of a single multi-ethnic state .	O O O O O O O O O S-LOC O O O O O O O O O O O O O O O O O O O O O O O O S-MISC O O O O O O O O O O O O O O O O O
More saline solution will be inserted in 16 weekly treatments .	O O O O O O O O O O O
Andrei Medvedev ( Ukraine ) beat Jean-Philippe Fleurian ( France ) 6-2 6-0 6-1	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O O
It was not clear if they were the same five spy rings , allegedly led by Turkish diplomats , that Iran said in April it had broken up in the same area , which borders Turkey .	O O O O O O O O O O O O O O O O S-MISC O O O S-LOC O O O O O O O O O O O O O O S-LOC O
" Observation of food supplies and their distribution are still a major issue and seems the two sides have not yet filled the gap separating them , " said another diplomat .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Mostostal , based in southern Poland , wants to offer the bonds to large investors in a public offering , paying an annual coupon of no more than 80 percent of the yield of the benchmark 52-week T-bill .	O O O O O S-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Hungary 's gross foreign debt rose to $ 27.53 billion in June from $ 27.25 billion in May , the	S-LOC O O O O O O O O O O O O O O O O O O O
Eight members of a family , five of them children aged between two and seven , drowned when their small boat sank on Lake Maracaibo in western Venezuela early on Monday , authorities said .	O O O O O O O O O O O O O O O O O O O O O O O B-LOC E-LOC O O S-LOC O O O O O O O
AMSTERDAM 1996-08-25	S-LOC O
Mulder missed the first test in Durban with back spasms and failed a fitness check on Thursday .	S-PER O O O O O S-LOC O O O O O O O O O O O
Algeria faults Britain over Islamists gathering .	S-LOC O S-LOC O S-MISC O O
NAC Breda 1 ( Abdellaoui 20th penalty ) NEC Nijmegen 1 ( Graef 36th ) .	O O O O S-PER O O O O O O O S-PER O O O
He said that security officials often visit his shop to make sure he was not selling the books .	O O O O O O O O O O O O O O O O O O O
Czech CNB-120 index rises 1.2 pts to 869.3 .	S-MISC S-MISC O O O O O O O
They said they were ready to force their way back across post-war ethnic lines to Serb-held Doboj , one of several towns where NATO troops fear violence involving refugees determined to vote where they once lived .	O O O O O O O O O O O O O O O S-MISC S-LOC O O O O O O O O O O O O O O O O O O O O
SOCCER - COCU DOUBLE EARNS PSV 4-1 WIN .	O O S-PER O O O O O O
won , drawn , lost , goals for , goals against , points ) :	O O O O O O O O O O O O O O O
