S. Korea Daewoo , Dacom units in Polish telecom JV .	B-LOC E-LOC S-ORG O S-ORG O O S-MISC O O O
Berlin prosecutors said on Wednesday they had filed charges against two German men for sexually abusing children in Thailand and distributing pornographic films and pictures of their degrading acts .	S-LOC O O O O O O O O O O S-MISC O O O O O O S-LOC O O O O O O O O O O O
Hansa Rostock 3 0 2 1 3 4 2	B-ORG E-ORG O O O O O O O
Pedro Diniz ( Brazil ) 1	B-PER E-PER O S-LOC O O
DETROIT AT KANSAS CITY	S-ORG O B-LOC E-LOC
" They made me sign an undertaking not to sell the books to anyone at the risk of legal action .	O O O O O O O O O O O O O O O O O O O O O
Results of Ukraine premier division	O O S-LOC O O
AMMAN 1996-08-23	S-LOC O
GENEVA 1996-08-23	S-LOC O
When officials and coaching staff tried to intervene , Cyprien launched a flying kick at Moura , but only succeeded in kneeing St Gallen coach Roger Hegi in the stomach .	O O O O O O O O O S-PER O O O O O S-PER O O O O O O B-ORG E-ORG O B-PER E-PER O O O O
In August the same year , while in New Delhi to receive yet another award , she developed malaria , complicated by her heart and lung problems .	O O O O O O O O B-LOC E-LOC O O O O O O O O O O O O O O O O O O
Club Brugge 4 2 2 0 10 4 8	B-ORG E-ORG O O O O O O O
Standings ( tabulate under played , won , drawn , lost , goals	O O O O O O O O O O O O O
Leading results at an	O O O O
Wasim becomes the 11th player to join the 300-club of	S-PER O O O O O O O O O
EL MUNDO	B-ORG E-ORG
Kaluwitharana , slow in comparison , was bowled by Tendulkar for 53 , but Aravinda de Silva with 49 not out helped see Sri Lanka home .	S-PER O O O O O O O O S-PER O O O O B-PER I-PER E-PER O O O O O O B-LOC E-LOC O O
Just last week , Sun Microsystems and the Silicon Valley venture capital giant Kleiner Perkins Caufield & Byers said they had completed financing of a $ 100 million fund managed by Kleiner Perkins to fund startups developing Java technologies .	O O O O B-ORG E-ORG O O B-LOC E-LOC O O O B-ORG I-ORG I-ORG I-ORG E-ORG O O O O O O O O O O O O O B-ORG E-ORG O O O O S-MISC O O
R. Croft c Ijaz Ahmed b Wasim Akram 6	B-PER E-PER O B-PER E-PER O B-PER E-PER O
It cost me a few bucks at the bar . '	O O O O O O O O O O O
But it was the bullish profit forecast for 1996/97 that took the spotlight in the market , with some analysts saying 20 percent may even be an understatement .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Grand Prix athletics meeting on Friday :	B-MISC E-MISC O O O O O
Rotherham 1 Blackpool 2	S-ORG O S-ORG O
Heerenveen 3 2 0 1 7 5 6	S-ORG O O O O O O O
Played on Friday :	O O O O
Kryvbas Kryvy Rig 1 Karpaty Lviv 2	B-ORG I-ORG E-ORG O B-ORG E-ORG O
Dresden 792 up 11.4	S-LOC O O O
The magazines named the woman as Fili Houteman , a 26-year-old French singer and dancer in a Belgian cabaret club .	O O O O O O B-PER E-PER O O O S-MISC O O O O O S-MISC O O O
6. Nicoleta Grasu ( Romania ) 61.36	O B-PER E-PER O S-LOC O O
" Her condition seems to be better , but the danger remains as long as she is on respirator , " an official at Woodlands Nursing Home said . "	O O O O O O O O O O O O O O O O O O O O O O O O B-LOC I-LOC E-LOC O O O
) 0-0 .	O O O
and final test at The Oval on Sunday .	O O O O B-LOC E-LOC O O O
M. Azharuddin st Kaluwitharana b Jayasuriya 58	B-PER E-PER O S-PER O S-PER O
( Australia ) 7-5 6-4	O S-LOC O O O
AUG 23 DAY 'S CHANGE 1996 HIGH 1996 LOW	O O O O O O O O O
Played Friday :	O O O
A shotgun and a .357 handgun were found in the car .	O O O O O O O O O O O O
" It can be stated beyond reasonable doubt that this skull is not that of the late king , " the scientist said in a statement .	O O O O O O O O O O O O O O O O O O O O O O O O O O O
Danish analysts recently estimated ISS Inc 's sale value at up to $ 118 million .	S-MISC O O O B-ORG E-ORG O O O O O O O O O O
CYCLING - WORLD TRACK CHAMPIONSHIP RESULTS .	O O O O O O O
Indonesia 's SBPUs auction results .	S-LOC O O O O O
The 27-year-old American hurried off the Stadium Court for treatment of an upset stomach after his two and a half hour struggle against Alami .	O O S-MISC O O O B-LOC E-LOC O O O O O O O O O O O O O O O S-PER O
Earlier this year , a German tourist and a Swiss tour guide were kidnapped from the same general area in northern Costa Rica near the Nicaraguan border .	O O O O O S-MISC O O O S-MISC O O O O O O O O O O O B-LOC E-LOC O O S-MISC O O
third and final test between England and Pakistan at the Oval on	O O O O O S-LOC O S-LOC O O S-LOC O
Stansted , London 's third-busiest airport after Heathrow and Gatwick , is located about 30 miles ( 48 km ) northeast of the capital .	S-LOC O S-LOC O O O O S-LOC O S-LOC O O O O O O O O O O O O O O O
Audi CEO says expects no 96 currency impact .	S-ORG O O O O O O O O
Cynthia McKinney said : " You make your moral decisions .	B-PER E-PER O O O O O O O O O
LONDON 1996-08-23	S-LOC O
Nottingham Forest 3 1 1 1 5 5 4	B-ORG E-ORG O O O O O O O
SOCCER - ITALIAN CUP SECOND ROUND RESULTS .	O O B-MISC E-MISC O O O O
AOL is the leading global commercial online service with some six million subscribers worldwide .	S-ORG O O O O O O O O O O O O O O
The PLO wants East Jerusalem as the capital of a future Palestinian state .	O S-ORG O B-LOC E-LOC O O O O O O S-MISC O O
BUENOS AIRES 1996-08-26	B-LOC E-LOC O
DINAMINA	S-ORG
Cup holders Fiorentina easily beat Cosenza 3-1 while European Cup holders Juventus also cruised through with a 2-0 win at small southern club Fidelis Andria .	S-MISC O S-ORG O O S-ORG O O B-MISC E-MISC O S-ORG O O O O O O O O O O O B-ORG E-ORG O
Brunswijk , 35 , denied the charges and said he had merely defended himself when Pinas attacked him with a bottle .	S-PER O O O O O O O O O O O O O O S-PER O O O O O O
Mauritania v Benin postponed to Friday	S-LOC O S-LOC O O O
Australian Davis Cup captain John Newcombe on Thursday signalled his possible resignation if his team loses an away tie against Croatia next month .	S-MISC B-MISC E-MISC O B-PER E-PER O O O O O O O O O O O O O O S-LOC O O O
4. Paula Radcliffe ( Britain ) 14:59.70	O B-PER E-PER O S-LOC O O
1 - Jansher Khan ( Pakistan ) beat Simon Frenz ( Germany ) 15-12 15-7 12-15 15-10	O O B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O O O
Yeltsin shown on Russian television .	S-PER O O S-MISC O O
Yeltsin sent him there to compromise him .	S-PER O O O O O O O
Army troops were called in to evacuate residents of low-lying areas to higher ground .	O O O O O O O O O O O O O O O
3. Silke Renk ( Germany ) 60.66	O B-PER E-PER O S-LOC O O
Universitatea Cluj 4 2 2 0 6 4 8	B-ORG E-ORG O O O O O O O
Defenders - Frank de Boer ( Ajax ) , John Veldman ( Ajax ) , Jaap Stam ( PSV ) , Arthur Numan ( PSV ) , Michael Reiziger ( AC Milan ) , Johan de Kock ( Schalke ' 04 ) .	O O B-PER I-PER E-PER O S-ORG O O B-PER E-PER O S-ORG O O B-PER E-PER O S-ORG O O B-PER E-PER O S-ORG O O B-PER E-PER O B-ORG E-ORG O O B-PER I-PER E-PER O S-ORG O O O O
The last no-confidence debate against Banharn 's coalition in May was won by the government .	O O O O O S-PER O O O O O O O O O O
Dutch first division match :	S-MISC O O O O
Goulnara Fatkoullina helped Samokhalova to build an unbeatable points lead before snatching the bronze medal .	B-PER E-PER O S-PER O O O O O O O O O O O O
Men 's singles	O O O
Magnus Larsson ( Sweden ) vs. Alexander Volkov ( Russia )	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O
5. Veerle De Jaeghere ( Belgium ) 2:43.18	O B-PER I-PER E-PER O S-LOC O O
It said its arms purchases were for defensive purposes .	O O O O O O O O O O
Sint Truiden 3 Ekeren 1	B-ORG E-ORG O S-ORG O
NOTE - Salomon & Taylor Made Co Ltd manufactures golf clubs and sells ski equipment .	O O B-ORG I-ORG I-ORG I-ORG I-ORG E-ORG O O O O O O O O
TENNIS - THURSDAY 'S RESULTS FROM THE U.S. OPEN .	O O O O O O O B-MISC E-MISC O
Police seek fugitive after Auckland gun incident .	O O O O S-LOC O O O
But Nutricia shrugged off its ex-div tag to soar a further 4.10 guilders to 214.40 continuing its explosive rally sparked by the 51 percent jump in first half net profits last week , which set the market alight on Friday , sending the shares up 18.40 at 210.00 by the close .	O S-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
US investors mull appeal of Lloyd 's decision .	S-LOC O O O O B-ORG E-ORG O O
He added Chiron Corp reported its sales of inventory to Berlex was down .	O O B-ORG E-ORG O O O O O O S-ORG O O O
Netanyahu met Weizman last Tuesday and voiced his opposition , Yedioth said .	S-PER O S-PER O O O O O O O S-ORG O O
that is to end the state of hostility , " Thursday 's overseas edition of the People 's Daily quoted Tang as saying .	O O O O O O O O O O O O O O O O B-ORG I-ORG E-ORG O S-PER O O O
Rita Grande ( Italy ) beat Tina Krizan ( Slovenia ) 6-2 6-0	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O
Lugano 1 Basle 1	S-ORG O S-ORG O
G. Lloyd not out 2	B-PER E-PER O O O
CHICAGO 64 64 .500 4 1/2	S-ORG O O O O O
Dmitry Kuznets	B-PER E-PER
SOCCER - EUROPEAN CUP WINNERS ' CUP RESULTS .	O O B-MISC I-MISC I-MISC I-MISC E-MISC O O
SOCCER - FRENCH DEFENDER KOMBOUARE JOINS ABERDEEN .	O O S-MISC O S-PER O S-ORG O
NEW YORK 1996-08-22	B-LOC E-LOC O
Grand Total : 290M	O O O O
Standings after games played on Friday ( tabulate under won ,	O O O O O O O O O O O
1. Svetlana Masterkova ( Russia ) 2 minutes 28.98 seconds	O B-PER E-PER O S-LOC O O O O O
Brisbane 21 15 1 5 2123 1631 130.2 62	S-ORG O O O O O O O O
-- New Democracy leader Miltiadis Evert vows support mesures for farmers and small business as he kicks off the conservative party 's campaign	O B-ORG E-ORG O B-PER E-PER O O O O O O O O O O O O O O O O O
BADMINTON - MALAYSIAN OPEN BADMINTON RESULTS .	O O B-MISC E-MISC O O O
Rad 1 Buducnost ( P ) 0	S-ORG O B-ORG I-ORG I-ORG E-ORG O
HARARE 1996-08-24	S-LOC O
Barnsley 3 3 0 0 8 2 9	S-ORG O O O O O O O
We 're seeing some new crop coming in now but it 's slow going , " the dealer said .	O O O O O O O O O O O O O O O O O O O O
It forecast an end 1997 peso in the range of 9.20-9.40 .	O O O O O O O O O O O O
" The meeting between Peres and Arafat will take place at Erez checkpoint in Gaza and not in Ramallah as planned , " Peres ' office said .	O O O O S-PER O S-PER O O O O S-LOC O O S-LOC O O O S-LOC O O O O S-PER O O O O
8. Carlos Checa ( Spain ) Honda 1:51.588	O B-PER E-PER O S-LOC O S-ORG O
PARIS 1996-08-24	S-LOC O
Democrats also heard Tuesday two passionate speeches defending abortion rights .	S-MISC O O O O O O O O O O
" The boy came from China 's eastern province of Jiangsu .	O O O O O S-LOC O O O O S-LOC O
1996-08-23	O
After meeting Milosevic , Kornblum flew to the Croatian capital Zagreb .	O O S-PER O S-PER O O O S-MISC O S-LOC O
English and Scottish league soccer	S-MISC O S-MISC O O
MILWAUKEE AT CLEVELAND	S-ORG O S-LOC
Goldman Sachs & Co Wertpapier GmbH has issued a total of five million American-style call warrants , on Continental AG , lead manager Goldman Sachs & Co said .	B-ORG I-ORG I-ORG I-ORG I-ORG E-ORG O O O O O O O S-MISC O O O O B-ORG E-ORG O O O B-ORG I-ORG I-ORG E-ORG O O
Wall Street ponders Rubin 's role if Clinton wins .	B-LOC E-LOC O S-PER O O O S-PER O O
Division two	O O
N. Knight b Mushtaq Ahmed 17	B-PER E-PER O B-PER E-PER O
TORONTO 63 71 .470 12	S-ORG O O O O
6. Ainars Kiksis ( Latvia ) 1:04.896	O B-PER E-PER O S-LOC O O
M. Atherton b Waqar Younis 31	B-PER E-PER O B-PER E-PER O
CHICAGO 64 66 .492 6	S-ORG O O O O
Sidor is the CVG 's steel-producing arm , slated for a December sale worth an estimated $ 1.5 billion .	S-ORG O O S-ORG O O O O O O O O O O O O O O O O
" It 's not as though it has n't had an impact , " he said . "	O O O O O O O O O O O O O O O O O O
SOCCER - ARGENTINE CHAMPIONSHIP RESULTS .	O O S-MISC O O O
--------------------------------	O
MORAV.CHEMIC. ZAV .	B-ORG E-ORG O
A stake of 10 million shares in Russian gas monopoly RAO Gazprom was sold at auction on Thursday at an average 2,901.48 roubles a share , up from 2,891.00 roubles a week ago , the Federal Securities Corporation ( FFK ) said .	O O O O O O O S-MISC O O B-ORG E-ORG O O O O O O O O O O O O O O O O O O O O O O O B-ORG I-ORG E-ORG O S-ORG O O O
Commission Regulation ( EC ) No 1663/96 of 20 August 1996 establishing the standard import values for determining the entry price of certain fruit and vegetables END OF DOCUMENT .	B-MISC E-MISC O S-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O
Liam Botham demonstrated his father Ian 's golden touch on Wednesday shortly after making his county debut for Hampshire .	B-PER E-PER O O O S-PER O O O O O O O O O O O O S-ORG O
Hong Kong nabs blind 10-year-old illegal immigrant .	B-LOC E-LOC O O O O O O
He added the couple had also shed light on the murder last year of the wife of Mafia boss Nitto Santapaola .	O O O O O O O O O O O O O O O O O O O B-PER E-PER O
ANKARA 1996-08-28	S-LOC O
CAIRO 1996-08-25	S-LOC O
Net per shr ( guilders ) 4.38 vs 3.70	O O O O O O O O O
Former England manager Bobby Robson enjoyed his first success in charge of Barcelona as his team weathered 90 minutes of non-stop Atletico Madrid pressure to win the Spanish Super Cup 6-5 on aggregate on Wednesday .	O S-LOC O B-PER E-PER O O O O O O O S-ORG O O O O O O O O B-ORG E-ORG O O O O S-MISC B-MISC E-MISC O O O O O O
London 56 Castleford 0	S-ORG O S-ORG O
-- The analyst also set an earnings estimate for the 1997 year , but the figure was not immediately available .	O O O O O O O O O O O O O O O O O O O O O
METROSTAV 3024.95 3024.95 3000 9074.850	S-ORG O O O O
9. Vasas 3 1 1 1 3 3 4	O S-ORG O O O O O O O
SELIKO 4000.00 20000.00 3565 32607.500	S-ORG O O O O
3. Bscher 112	O S-PER O
Northsea Chaser 55 12/09 Mideast / Japan W167.5 Jomo .	B-ORG E-ORG O O S-LOC O S-LOC O S-ORG O
Nele Zilinskiene ( Lithuania ) 1.85	B-PER E-PER O S-LOC O O
ST LOUIS 69 63 .523 1 1/2	B-ORG E-ORG O O O O O
The Serbs , who make up 10 percent of the province 's 1.8 million people , claim Kosovo as the cradle of their culture .	O S-MISC O O O O O O O O O O O O O O O S-LOC O O O O O O O
R. Kaluwitharana b Tendulkar 53	B-PER E-PER O S-PER O
The committee consists of the chiefs of defence staff of each alliance country except Iceland , which has no armed forces .	O O O O O O O O O O O O O O S-LOC O O O O O O O
IFK Gothenburg of Sweden drew 1-1 ( 1-0 ) with Ferencvaros of Hungary in the second leg of their European Champions Cup preliminary round tie played on Wednesday .	B-ORG E-ORG O S-LOC O O O O O O S-ORG O S-LOC O O O O O O B-MISC I-MISC E-MISC O O O O O O O
Yeltsin is expected to go on holiday in the near future , but officials have not yet said where he will go or when .	S-PER O O O O O O O O O O O O O O O O O O O O O O O O
Gencor raised attributable earnings to 1,803 million rand from 1,003 million rand previously - in dollar terms an increase to $ 469 million from $ 279 million - and won despite the group 's Impala Platinum Holdings Ltd posting dismal results .	S-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-ORG I-ORG I-ORG E-ORG O O O O
OAKLAND AT BOSTON	S-ORG O S-LOC
Congress is constitutionally obliged to approve the budget by the end of year but regularly fails to meet that requirement .	S-ORG O O O O O O O O O O O O O O O O O O O O
1. Tommi Makinen ( Finland ) Mitsubishi Lancer 4 hours 4 minutes	O B-PER E-PER O S-LOC O B-MISC E-MISC O O O O
He said the market began strong , gave up some gains at midday and then was able to recover back at the close , but all on light volume .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Barnet 1 Wigan 1	S-ORG O S-ORG O
Freiburg 1 Cologne 3	S-ORG O S-ORG O
Col .	S-LOC O
AMSTETTEN , Austria 1996-08-30	S-LOC O S-LOC O
The Beijing-funded WEN WEI PO said Taiwan 's government could not hope to stem the island 's economic and trade exchanges with China .	O S-MISC B-ORG I-ORG E-ORG O S-LOC O O O O O O O O O O O O O O O S-LOC O
69 78 , Raymond Russell 69 78 , Roger Chapman 71 76 , Paul	O O O B-PER E-PER O O O B-PER E-PER O O O S-PER
A KSE statement said the recomposed index would be more representative , capturing market capitalisation of 82.3 percent , up from 79.9 percent previously .	O S-ORG O O O O O O O O O O O O O O O O O O O O O O O
teams that took place today in Geneva :	O O O O O O S-LOC O
Atlanta 9 PITTSBURGH 4	S-ORG O S-ORG O
" They did a good job this year , but they need good diesel and good engine oil , " said Ivan Odnosum . "	O O O O O O O O O O O O O O O O O O O O O B-PER E-PER O O
million NEC World Series of Golf after the second round was	O B-MISC I-MISC I-MISC I-MISC E-MISC O O O O O
SOCCER - WALES BEAT SAN MARINO 4-0 IN UNDER-21 MATCH .	O O S-LOC O B-LOC E-LOC O O O O O
Did not bat : P. Reiffel , D. Flemming , G. McGrath	O O O O B-PER E-PER O B-PER E-PER O B-PER E-PER
Cultural Ministry planning to spend large sum of money to buy silver crown believed to have been worn by ancient king and now in Australia .	O O O O O O O O O O O O O O O O O O O O O O O O S-LOC O
